#NAME | LB1 monitor IP | LB2 monitor IP | LB1 docker name | LB2 docker name | endpoint IP | endpoint Interface | LB1 host IP | LB2 host IP
VPC1, 10.202.120.111, 10.202.120.112, clab-HALB-LB1, clab-HALB-LB2, 10.10.10.101/24, eth2, 192.168.20.16, 192.168.20.16
VPC2, 10.202.120.222, 10.202.120.112, clab-HALB-SR1, clab-HALB-SR2, 6.6.6.6/24, lo, 192.168.20.16, 192.168.20.16
