#NAME | LB1 IP | LB2 IP | endpoint IP | endpoint Interface | LB1 username | LB2 username
VPC1, 10.202.120.23, 10.202.120.44, 55.55.55.55/24, lo, root, root
VPC2, 10.202.120.55, 10.202.120.66, 66.66.66.66/24, lo, root, root
